"Internal_reference","Survey","Polygon","Commonname","Validname","Family","Class","Order","RES","Type","Partial_cell_area","Density","Uncertainty","Uncertainty_measure","CI_95_low","CI_95_high","Location","Study_area"
"007_Doniol-Valcroze et al (2020)_HACS","Admiralty Inlet","AI","Bowhead whale","Balaena mysticetus","Balaenidae","Mammalia","Cetartiodactyla",0.38,"Native Range",219.049954534305,0.0181175430844012,0.97,"CV abundance",0.00287229341581971,0.112682280159081,"Northwest Atlantic","N"
"007_Doniol-Valcroze et al (2020)_HACS","Admiralty Inlet","AI","Bowhead whale","Balaena mysticetus","Balaenidae","Mammalia","Cetartiodactyla",0.39,"Native Range",239.117526297215,0.0181175430844012,0.97,"CV abundance",0.00287229341581971,0.112682280159081,"Northwest Atlantic","N"
"007_Doniol-Valcroze et al (2020)_HACS","Admiralty Inlet","AI","Bowhead whale","Balaena mysticetus","Balaenidae","Mammalia","Cetartiodactyla",0.33,"Native Range",887.76645068936,0.0181175430844012,0.97,"CV abundance",0.00287229341581971,0.112682280159081,"Northwest Atlantic","N"
"007_Doniol-Valcroze et al (2020)_HACS","Admiralty Inlet","AI","Bowhead whale","Balaena mysticetus","Balaenidae","Mammalia","Cetartiodactyla",0.37,"Native Range",710.462731052651,0.0181175430844012,0.97,"CV abundance",0.00287229341581971,0.112682280159081,"Northwest Atlantic","N"
"007_Doniol-Valcroze et al (2020)_HACS","Admiralty Inlet","AI","Bowhead whale","Balaena mysticetus","Balaenidae","Mammalia","Cetartiodactyla",0.36,"Native Range",216.996136830116,0.0181175430844012,0.97,"CV abundance",0.00287229341581971,0.112682280159081,"Northwest Atlantic","N"
"007_Doniol-Valcroze et al (2020)_HACS","Admiralty Inlet","AI","Bowhead whale","Balaena mysticetus","Balaenidae","Mammalia","Cetartiodactyla",0.4,"Native Range",762.517165239388,0.0181175430844012,0.97,"CV abundance",0.00287229341581971,0.112682280159081,"Northwest Atlantic","N"
"007_Doniol-Valcroze et al (2020)_HACS","Admiralty Inlet","AI","Bowhead whale","Balaena mysticetus","Balaenidae","Mammalia","Cetartiodactyla",0.34,"Native Range",644.374320487388,0.0181175430844012,0.97,"CV abundance",0.00287229341581971,0.112682280159081,"Northwest Atlantic","N"
"007_Doniol-Valcroze et al (2020)_HACS","Admiralty Inlet","AI","Bowhead whale","Balaena mysticetus","Balaenidae","Mammalia","Cetartiodactyla",0.43,"Native Range",828.233574322626,0.0181175430844012,0.97,"CV abundance",0.00287229341581971,0.112682280159081,"Northwest Atlantic","N"
"007_Doniol-Valcroze et al (2020)_HACS","Admiralty Inlet","AI","Bowhead whale","Balaena mysticetus","Balaenidae","Mammalia","Cetartiodactyla",0.35,"Native Range",600.158518428106,0.0181175430844012,0.97,"CV abundance",0.00287229341581971,0.112682280159081,"Northwest Atlantic","N"
"007_Doniol-Valcroze et al (2020)_HACS","Admiralty Inlet","AI","Bowhead whale","Balaena mysticetus","Balaenidae","Mammalia","Cetartiodactyla",0.72,"Native Range",144.550389674523,0.0181175430844012,0.97,"CV abundance",0.00287229341581971,0.112682280159081,"Northwest Atlantic","N"
"007_Doniol-Valcroze et al (2020)_HACS","Admiralty Inlet","AI","Bowhead whale","Balaena mysticetus","Balaenidae","Mammalia","Cetartiodactyla",0.43,"Native Range",645.710854281725,0.0181175430844012,0.97,"CV abundance",0.00287229341581971,0.112682280159081,"Northwest Atlantic","N"
"007_Doniol-Valcroze et al (2020)_HACS","Admiralty Inlet","AI","Bowhead whale","Balaena mysticetus","Balaenidae","Mammalia","Cetartiodactyla",0.53,"Native Range",281.760101604554,0.0181175430844012,0.97,"CV abundance",0.00287229341581971,0.112682280159081,"Northwest Atlantic","N"
"007_Doniol-Valcroze et al (2020)_HACS","Admiralty Inlet","AI","Bowhead whale","Balaena mysticetus","Balaenidae","Mammalia","Cetartiodactyla",0.43,"Native Range",363.260393867943,0.0181175430844012,0.97,"CV abundance",0.00287229341581971,0.112682280159081,"Northwest Atlantic","N"
"007_Doniol-Valcroze et al (2020)_HACS","Admiralty Inlet","AI","Bowhead whale","Balaena mysticetus","Balaenidae","Mammalia","Cetartiodactyla",0.65,"Native Range",449.662697825535,0.0181175430844012,0.97,"CV abundance",0.00287229341581971,0.112682280159081,"Northwest Atlantic","N"
"007_Doniol-Valcroze et al (2020)_HACS","Admiralty Inlet","AI","Bowhead whale","Balaena mysticetus","Balaenidae","Mammalia","Cetartiodactyla",0.49,"Native Range",355.734573081701,0.0181175430844012,0.97,"CV abundance",0.00287229341581971,0.112682280159081,"Northwest Atlantic","N"
"007_Doniol-Valcroze et al (2020)_HACS","Admiralty Inlet","AI","Bowhead whale","Balaena mysticetus","Balaenidae","Mammalia","Cetartiodactyla",0.44,"Native Range",175.982851779659,0.0181175430844012,0.97,"CV abundance",0.00287229341581971,0.112682280159081,"Northwest Atlantic","N"
"007_Doniol-Valcroze et al (2020)_HACS","Admiralty Inlet","AI","Bowhead whale","Balaena mysticetus","Balaenidae","Mammalia","Cetartiodactyla",0.4,"Native Range",255.791643420395,0.0181175430844012,0.97,"CV abundance",0.00287229341581971,0.112682280159081,"Northwest Atlantic","N"
"007_Doniol-Valcroze et al (2020)_HACS","Admiralty Inlet","AI","Bowhead whale","Balaena mysticetus","Balaenidae","Mammalia","Cetartiodactyla",0.29,"Native Range",172.779420541076,0.0181175430844012,0.97,"CV abundance",0.00287229341581971,0.112682280159081,"Northwest Atlantic","N"
"007_Doniol-Valcroze et al (2020)_HACS","Admiralty Inlet","AI","Bowhead whale","Balaena mysticetus","Balaenidae","Mammalia","Cetartiodactyla",0.56,"Native Range",472.464754468506,0.0181175430844012,0.97,"CV abundance",0.00287229341581971,0.112682280159081,"Northwest Atlantic","N"
"007_Doniol-Valcroze et al (2020)_HACS","Admiralty Inlet","AI","Bowhead whale","Balaena mysticetus","Balaenidae","Mammalia","Cetartiodactyla",0.5,"Native Range",163.375863371675,0.0181175430844012,0.97,"CV abundance",0.00287229341581971,0.112682280159081,"Northwest Atlantic","N"
"007_Doniol-Valcroze et al (2020)_HACS","Admiralty Inlet","AI","Bowhead whale","Balaena mysticetus","Balaenidae","Mammalia","Cetartiodactyla",0.57,"Native Range",345.130259042376,0.0181175430844012,0.97,"CV abundance",0.00287229341581971,0.112682280159081,"Northwest Atlantic","N"
"007_Doniol-Valcroze et al (2020)_HACS","Admiralty Inlet","AI","Bowhead whale","Balaena mysticetus","Balaenidae","Mammalia","Cetartiodactyla",0.54,"Native Range",115.127437603505,0.0181175430844012,0.97,"CV abundance",0.00287229341581971,0.112682280159081,"Northwest Atlantic","N"
"007_Doniol-Valcroze et al (2020)_HACS","Admiralty Inlet","AI","Bowhead whale","Balaena mysticetus","Balaenidae","Mammalia","Cetartiodactyla",0.61,"Native Range",178.955348246597,0.0181175430844012,0.97,"CV abundance",0.00287229341581971,0.112682280159081,"Northwest Atlantic","N"
"007_Doniol-Valcroze et al (2020)_HACS","Cumberland Sound (high)","CS (high)","Bowhead whale","Balaena mysticetus","Balaenidae","Mammalia","Cetartiodactyla",1,"Native Range",339.580913955502,0.274175824175824,0.49,"CV abundance",0.0779120879120879,0.964945054945055,"Northwest Atlantic","N"
"007_Doniol-Valcroze et al (2020)_HACS","Cumberland Sound (high)","CS (high)","Bowhead whale","Balaena mysticetus","Balaenidae","Mammalia","Cetartiodactyla",0.15,"Native Range",253.968673546394,0.274175824175824,0.49,"CV abundance",0.0779120879120879,0.964945054945055,"Northwest Atlantic","N"
"007_Doniol-Valcroze et al (2020)_HACS","Cumberland Sound (high)","CS (high)","Bowhead whale","Balaena mysticetus","Balaenidae","Mammalia","Cetartiodactyla",0.53,"Native Range",797.41535611615,0.274175824175824,0.49,"CV abundance",0.0779120879120879,0.964945054945055,"Northwest Atlantic","N"
