"Internal_reference","Survey","Polygon","Commonname","Validname","Family","Class","Order","RES","Type","Partial_cell_area","Density","Uncertainty","Uncertainty_measure","CI_95_low","CI_95_high","Location","Study_area"
"025_Palka (2006)_NEFSC","1999 shipboard GOM North","GOMN","North Atantic right whale","Eubalaena glacialis","Balaenidae","Mammalia","Cetartiodactyla",1,"Suitable habitat",419.663406473907,0.0194686676130602,0.02,"CV abundance",NA,NA,"Northwest Atlantic","N"
"025_Palka (2006)_NEFSC","1999 shipboard GOM North","GOMN","North Atantic right whale","Eubalaena glacialis","Balaenidae","Mammalia","Cetartiodactyla",1,"Suitable habitat",1572.27758607747,0.0194686676130602,0.02,"CV abundance",NA,NA,"Northwest Atlantic","N"
"025_Palka (2006)_NEFSC","1999 shipboard GOM North","GOMN","North Atantic right whale","Eubalaena glacialis","Balaenidae","Mammalia","Cetartiodactyla",1,"Suitable habitat",1729.41126030447,0.0194686676130602,0.02,"CV abundance",NA,NA,"Northwest Atlantic","N"
"025_Palka (2006)_NEFSC","1999 shipboard GOM North","GOMN","North Atantic right whale","Eubalaena glacialis","Balaenidae","Mammalia","Cetartiodactyla",1,"Suitable habitat",2218.67978707199,0.0194686676130602,0.02,"CV abundance",NA,NA,"Northwest Atlantic","N"
"025_Palka (2006)_NEFSC","1999 shipboard GOM North","GOMN","North Atantic right whale","Eubalaena glacialis","Balaenidae","Mammalia","Cetartiodactyla",1,"Suitable habitat",504.328236703278,0.0194686676130602,0.02,"CV abundance",NA,NA,"Northwest Atlantic","N"
"025_Palka (2006)_NEFSC","1999 shipboard GOM North","GOMN","North Atantic right whale","Eubalaena glacialis","Balaenidae","Mammalia","Cetartiodactyla",1,"Suitable habitat",1497.69816867507,0.0194686676130602,0.02,"CV abundance",NA,NA,"Northwest Atlantic","N"
"025_Palka (2006)_NEFSC","1999 shipboard GOM North","GOMN","North Atantic right whale","Eubalaena glacialis","Balaenidae","Mammalia","Cetartiodactyla",1,"Suitable habitat",1427.15103925761,0.0194686676130602,0.02,"CV abundance",NA,NA,"Northwest Atlantic","N"
"025_Palka (2006)_NEFSC","1999 shipboard GOM North","GOMN","North Atantic right whale","Eubalaena glacialis","Balaenidae","Mammalia","Cetartiodactyla",1,"Suitable habitat",363.36216534872,0.0194686676130602,0.02,"CV abundance",NA,NA,"Northwest Atlantic","N"
"025_Palka (2006)_NEFSC","2002 aerial GOM South","GOMS","North Atantic right whale","Eubalaena glacialis","Balaenidae","Mammalia","Cetartiodactyla",0.97,"Suitable habitat",682.775568934031,0.00701926216127979,0.98,"CV abundance",NA,NA,"Northwest Atlantic","N"
"025_Palka (2006)_NEFSC","2002 aerial GOM South","GOMS","North Atantic right whale","Eubalaena glacialis","Balaenidae","Mammalia","Cetartiodactyla",1,"Suitable habitat",567.627395392567,0.00701926216127979,0.98,"CV abundance",NA,NA,"Northwest Atlantic","N"
"025_Palka (2006)_NEFSC","2002 aerial GOM South","GOMS","North Atantic right whale","Eubalaena glacialis","Balaenidae","Mammalia","Cetartiodactyla",1,"Suitable habitat",1564.03023471759,0.00701926216127979,0.98,"CV abundance",NA,NA,"Northwest Atlantic","N"
"025_Palka (2006)_NEFSC","2002 aerial GOM South","GOMS","North Atantic right whale","Eubalaena glacialis","Balaenidae","Mammalia","Cetartiodactyla",1,"Suitable habitat",1635.46427935987,0.00701926216127979,0.98,"CV abundance",NA,NA,"Northwest Atlantic","N"
"025_Palka (2006)_NEFSC","2002 aerial GOM South","GOMS","North Atantic right whale","Eubalaena glacialis","Balaenidae","Mammalia","Cetartiodactyla",1,"Suitable habitat",1576.4022988764,0.00701926216127979,0.98,"CV abundance",NA,NA,"Northwest Atlantic","N"
"025_Palka (2006)_NEFSC","2002 aerial GOM South","GOMS","North Atantic right whale","Eubalaena glacialis","Balaenidae","Mammalia","Cetartiodactyla",1,"Suitable habitat",2291.68709283667,0.00701926216127979,0.98,"CV abundance",NA,NA,"Northwest Atlantic","N"
"025_Palka (2006)_NEFSC","2002 aerial GOM South","GOMS","North Atantic right whale","Eubalaena glacialis","Balaenidae","Mammalia","Cetartiodactyla",1,"Suitable habitat",1205.74726340929,0.00701926216127979,0.98,"CV abundance",NA,NA,"Northwest Atlantic","N"
"025_Palka (2006)_NEFSC","2002 aerial GOM South","GOMS","North Atantic right whale","Eubalaena glacialis","Balaenidae","Mammalia","Cetartiodactyla",0.92,"Suitable habitat",1588.77382519238,0.00701926216127979,0.98,"CV abundance",NA,NA,"Northwest Atlantic","N"
"025_Palka (2006)_NEFSC","2002 aerial GOM South","GOMS","North Atantic right whale","Eubalaena glacialis","Balaenidae","Mammalia","Cetartiodactyla",1,"Suitable habitat",2291.68709283667,0.00701926216127979,0.98,"CV abundance",NA,NA,"Northwest Atlantic","N"
"025_Palka (2006)_NEFSC","2002 aerial GOM South","GOMS","North Atantic right whale","Eubalaena glacialis","Balaenidae","Mammalia","Cetartiodactyla",1,"Suitable habitat",1395.80868655185,0.00701926216127979,0.98,"CV abundance",NA,NA,"Northwest Atlantic","N"
"025_Palka (2006)_NEFSC","2002 aerial GOM South","GOMS","North Atantic right whale","Eubalaena glacialis","Balaenidae","Mammalia","Cetartiodactyla",0.89,"Suitable habitat",1601.14481363739,0.00701926216127979,0.98,"CV abundance",NA,NA,"Northwest Atlantic","N"
"025_Palka (2006)_NEFSC","2002 aerial GOM South","GOMS","North Atantic right whale","Eubalaena glacialis","Balaenidae","Mammalia","Cetartiodactyla",1,"Suitable habitat",2291.68709283667,0.00701926216127979,0.98,"CV abundance",NA,NA,"Northwest Atlantic","N"
"025_Palka (2006)_NEFSC","2002 aerial GOM South","GOMS","North Atantic right whale","Eubalaena glacialis","Balaenidae","Mammalia","Cetartiodactyla",1,"Suitable habitat",1375.8843714156,0.00701926216127979,0.98,"CV abundance",NA,NA,"Northwest Atlantic","N"
"025_Palka (2006)_NEFSC","2002 aerial GOM South","GOMS","North Atantic right whale","Eubalaena glacialis","Balaenidae","Mammalia","Cetartiodactyla",0.93,"Suitable habitat",1613.51526418225,0.00701926216127979,0.98,"CV abundance",NA,NA,"Northwest Atlantic","N"
"025_Palka (2006)_NEFSC","2002 aerial GOM South","GOMS","North Atantic right whale","Eubalaena glacialis","Balaenidae","Mammalia","Cetartiodactyla",1,"Suitable habitat",2291.68709283667,0.00701926216127979,0.98,"CV abundance",NA,NA,"Northwest Atlantic","N"
"025_Palka (2006)_NEFSC","2002 aerial GOM South","GOMS","North Atantic right whale","Eubalaena glacialis","Balaenidae","Mammalia","Cetartiodactyla",1,"Suitable habitat",1161.01182748068,0.00701926216127979,0.98,"CV abundance",NA,NA,"Northwest Atlantic","N"
"025_Palka (2006)_NEFSC","2002 aerial GOM South","GOMS","North Atantic right whale","Eubalaena glacialis","Balaenidae","Mammalia","Cetartiodactyla",1,"Suitable habitat",997.320149138733,0.00701926216127979,0.98,"CV abundance",NA,NA,"Northwest Atlantic","N"
"025_Palka (2006)_NEFSC","2004 aerial GOM central","GOMC","North Atantic right whale","Eubalaena glacialis","Balaenidae","Mammalia","Cetartiodactyla",0.84,"Suitable habitat",275.160728155891,0.00329909973719036,0.86,"CV abundance",NA,NA,"Northwest Atlantic","N"
"025_Palka (2006)_NEFSC","2004 aerial GOM central","GOMC","North Atantic right whale","Eubalaena glacialis","Balaenidae","Mammalia","Cetartiodactyla",0.97,"Suitable habitat",402.589554180084,0.00329909973719036,0.86,"CV abundance",NA,NA,"Northwest Atlantic","N"
"025_Palka (2006)_NEFSC","2004 aerial GOM central","GOMC","North Atantic right whale","Eubalaena glacialis","Balaenidae","Mammalia","Cetartiodactyla",0.85,"Suitable habitat",239.809152557685,0.00329909973719036,0.86,"CV abundance",NA,NA,"Northwest Atlantic","N"
"025_Palka (2006)_NEFSC","2004 aerial GOM central","GOMC","North Atantic right whale","Eubalaena glacialis","Balaenidae","Mammalia","Cetartiodactyla",1,"Suitable habitat",2086.45085953221,0.00329909973719036,0.86,"CV abundance",NA,NA,"Northwest Atlantic","N"
