Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Pagophilus,groenlandicus,51.25,0.75,1500:110:2,0.18
Pagophilus,groenlandicus,51.75,1.75,1500:111:4,0.18
Pagophilus,groenlandicus,51.25,2.25,1500:112:1,0.19
Pagophilus,groenlandicus,51.25,2.75,1500:112:2,0.16
Pagophilus,groenlandicus,51.75,2.75,1500:112:4,0.19
Pagophilus,groenlandicus,51.25,3.25,1500:113:1,0.1
Pagophilus,groenlandicus,51.25,3.75,1500:113:2,0.1
Pagophilus,groenlandicus,51.75,3.25,1500:113:3,0.11
Pagophilus,groenlandicus,51.75,3.75,1500:113:4,0.09
Pagophilus,groenlandicus,51.25,4.25,1500:114:1,0.08
Pagophilus,groenlandicus,51.75,4.25,1500:114:3,0.04
Pagophilus,groenlandicus,51.75,4.75,1500:114:4,0.01
Pagophilus,groenlandicus,52.75,0.75,1500:120:4,0.1
Pagophilus,groenlandicus,52.75,1.25,1500:121:3,0.12
Pagophilus,groenlandicus,52.25,3.25,1500:123:1,0.17
Pagophilus,groenlandicus,52.25,3.75,1500:123:2,0.09
Pagophilus,groenlandicus,52.75,3.25,1500:123:3,0.19
Pagophilus,groenlandicus,52.75,3.75,1500:123:4,0.14
Pagophilus,groenlandicus,52.25,4.25,1500:124:1,0.01
Pagophilus,groenlandicus,52.25,4.75,1500:124:2,0.04
Pagophilus,groenlandicus,52.75,4.25,1500:124:3,0.12
Pagophilus,groenlandicus,52.75,4.75,1500:124:4,0.11
Pagophilus,groenlandicus,53.25,0.75,1500:130:2,0.17
Pagophilus,groenlandicus,53.75,0.25,1500:130:3,0.15
Pagophilus,groenlandicus,53.25,1.25,1500:131:1,0.19
Pagophilus,groenlandicus,53.25,1.75,1500:131:2,0.19
Pagophilus,groenlandicus,53.75,1.75,1500:131:4,0.17
Pagophilus,groenlandicus,53.25,2.75,1500:132:2,0.18
Pagophilus,groenlandicus,53.25,3.25,1500:133:1,0.18
Pagophilus,groenlandicus,53.25,3.75,1500:133:2,0.15
Pagophilus,groenlandicus,53.75,3.25,1500:133:3,0.19
Pagophilus,groenlandicus,53.75,3.75,1500:133:4,0.18
Pagophilus,groenlandicus,53.25,4.25,1500:134:1,0.14
Pagophilus,groenlandicus,53.75,4.25,1500:134:3,0.19
Pagophilus,groenlandicus,53.75,4.75,1500:134:4,0.19
Pagophilus,groenlandicus,54.75,1.75,1500:141:4,0.15
Pagophilus,groenlandicus,54.75,2.25,1500:142:3,0.13
Pagophilus,groenlandicus,54.75,2.75,1500:142:4,0.14
Pagophilus,groenlandicus,54.25,3.25,1500:143:1,0.17
Pagophilus,groenlandicus,54.25,3.75,1500:143:2,0.14
Pagophilus,groenlandicus,54.75,3.25,1500:143:3,0.18
Pagophilus,groenlandicus,54.75,3.75,1500:143:4,0.17
Pagophilus,groenlandicus,54.25,4.25,1500:144:1,0.13
Pagophilus,groenlandicus,54.25,4.75,1500:144:2,0.16
Pagophilus,groenlandicus,54.75,4.25,1500:144:3,0.15
Pagophilus,groenlandicus,54.75,4.75,1500:144:4,0.15
Pagophilus,groenlandicus,52.25,5.25,1500:225:1,0.05
Pagophilus,groenlandicus,52.25,5.75,1500:225:2,0.01
Pagophilus,groenlandicus,52.75,5.25,1500:225:3,0.17
Pagophilus,groenlandicus,52.75,5.75,1500:225:4,0.11
Pagophilus,groenlandicus,53.25,5.25,1500:235:1,0.18
Pagophilus,groenlandicus,53.25,5.75,1500:235:2,0.19
Pagophilus,groenlandicus,53.75,5.25,1500:235:3,0.19
Pagophilus,groenlandicus,53.75,5.75,1500:235:4,0.18
Pagophilus,groenlandicus,53.25,6.25,1500:236:1,0.15
Pagophilus,groenlandicus,53.25,6.75,1500:236:2,0.14
