Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Cystophora,cristata,0.25,0.25,1000:100:1,0.02
Cystophora,cristata,0.25,0.75,1000:100:2,0.02
Cystophora,cristata,0.75,0.25,1000:100:3,0.01
Cystophora,cristata,0.75,0.75,1000:100:4,0.01
Cystophora,cristata,0.25,1.25,1000:101:1,0.02
Cystophora,cristata,0.75,1.25,1000:101:3,0.01
Cystophora,cristata,0.75,1.75,1000:101:4,0.01
Cystophora,cristata,0.25,2.25,1000:102:1,0.03
Cystophora,cristata,0.25,1.75,1000:101:2,0.03
Cystophora,cristata,0.25,2.75,1000:102:2,0.03
Cystophora,cristata,0.75,2.25,1000:102:3,0.01
Cystophora,cristata,0.75,2.75,1000:102:4,0.01
Cystophora,cristata,0.25,3.25,1000:103:1,0.03
Cystophora,cristata,0.25,3.75,1000:103:2,0.03
Cystophora,cristata,0.75,3.25,1000:103:3,0.02
Cystophora,cristata,0.75,3.75,1000:103:4,0.02
Cystophora,cristata,0.25,4.25,1000:104:1,0.03
Cystophora,cristata,0.25,4.75,1000:104:2,0.03
Cystophora,cristata,0.75,4.25,1000:104:3,0.02
Cystophora,cristata,0.75,4.75,1000:104:4,0.02
Cystophora,cristata,1.25,3.25,1000:113:1,0.01
Cystophora,cristata,1.25,3.75,1000:113:2,0.01
Cystophora,cristata,1.25,4.25,1000:114:1,0.01
Cystophora,cristata,1.25,4.75,1000:114:2,0.01
Cystophora,cristata,4.75,0.25,1000:140:3,0.01
Cystophora,cristata,4.75,0.75,1000:140:4,0.01
Cystophora,cristata,0.25,5.25,1000:205:1,0.03
Cystophora,cristata,0.25,5.75,1000:205:2,0.03
Cystophora,cristata,0.75,5.25,1000:205:3,0.02
Cystophora,cristata,0.75,5.75,1000:205:4,0.02
Cystophora,cristata,0.25,6.25,1000:206:1,0.04
Cystophora,cristata,0.25,6.75,1000:206:2,0.04
Cystophora,cristata,0.75,6.25,1000:206:3,0.02
Cystophora,cristata,0.75,6.75,1000:206:4,0.02
Cystophora,cristata,0.25,7.25,1000:207:1,0.04
Cystophora,cristata,0.25,7.75,1000:207:2,0.04
Cystophora,cristata,0.75,7.25,1000:207:3,0.02
Cystophora,cristata,0.75,7.75,1000:207:4,0.02
Cystophora,cristata,0.25,8.25,1000:208:1,0.04
Cystophora,cristata,0.25,8.75,1000:208:2,0.03
Cystophora,cristata,0.75,8.25,1000:208:3,0.02
Cystophora,cristata,0.75,8.75,1000:208:4,0.02
Cystophora,cristata,1.25,5.25,1000:215:1,0.01
Cystophora,cristata,1.25,5.75,1000:215:2,0.01
Cystophora,cristata,1.25,6.25,1000:216:1,0.01
Cystophora,cristata,1.25,6.75,1000:216:2,0.01
Cystophora,cristata,1.25,7.25,1000:217:1,0.01
Cystophora,cristata,1.25,7.75,1000:217:2,0.01
Cystophora,cristata,1.25,8.25,1000:218:1,0.01
Cystophora,cristata,1.25,8.75,1000:218:2,0.01
Cystophora,cristata,5.25,0.25,1000:350:1,0.03
Cystophora,cristata,5.25,0.75,1000:350:2,0.03
Cystophora,cristata,5.75,0.75,1000:350:4,0.01
Cystophora,cristata,5.25,1.25,1000:351:1,0.01
Cystophora,cristata,5.75,1.25,1000:351:3,0.03
Cystophora,cristata,5.75,1.75,1000:351:4,0.01
Cystophora,cristata,6.25,1.75,1000:361:2,0.01
Cystophora,cristata,6.25,2.25,1000:362:1,0.01
Cystophora,cristata,49.25,0.25,1400:390:1,0.03
Cystophora,cristata,49.75,0.25,1400:390:3,0.03
Cystophora,cristata,49.75,0.75,1400:390:4,0.04
Cystophora,cristata,49.75,1.25,1400:391:3,0.03
Cystophora,cristata,50.25,0.25,1500:100:1,0.04
Cystophora,cristata,50.25,0.75,1500:100:2,0.05
Cystophora,cristata,50.75,0.25,1500:100:3,0.04
Cystophora,cristata,50.75,0.75,1500:100:4,0.04
Cystophora,cristata,50.25,1.25,1500:101:1,0.03
Cystophora,cristata,50.25,1.75,1500:101:2,0.02
Cystophora,cristata,50.75,1.25,1500:101:3,0.04
Cystophora,cristata,50.75,1.75,1500:101:4,0.03
Cystophora,cristata,51.25,0.75,1500:110:2,0.01
Cystophora,cristata,51.75,0.75,1500:110:4,0.01
Cystophora,cristata,51.25,1.25,1500:111:1,0.02
Cystophora,cristata,51.25,1.75,1500:111:2,0.03
Cystophora,cristata,51.75,1.25,1500:111:3,0.02
Cystophora,cristata,51.75,1.75,1500:111:4,0.03
Cystophora,cristata,51.25,2.25,1500:112:1,0.03
Cystophora,cristata,51.25,2.75,1500:112:2,0.02
Cystophora,cristata,51.75,2.25,1500:112:3,0.03
Cystophora,cristata,51.75,2.75,1500:112:4,0.03
Cystophora,cristata,51.25,3.25,1500:113:1,0.01
Cystophora,cristata,51.75,3.25,1500:113:3,0.02
Cystophora,cristata,51.75,3.75,1500:113:4,0.01
Cystophora,cristata,52.75,0.25,1500:120:3,0.02
Cystophora,cristata,52.25,1.75,1500:121:2,0.02
Cystophora,cristata,52.75,1.25,1500:121:3,0.01
Cystophora,cristata,52.75,1.75,1500:121:4,0.02
Cystophora,cristata,52.25,2.25,1500:122:1,0.04
Cystophora,cristata,52.25,2.75,1500:122:2,0.04
Cystophora,cristata,52.75,2.25,1500:122:3,0.03
Cystophora,cristata,52.75,2.75,1500:122:4,0.04
Cystophora,cristata,52.25,3.25,1500:123:1,0.03
Cystophora,cristata,52.25,3.75,1500:123:2,0.02
Cystophora,cristata,52.75,3.25,1500:123:3,0.03
Cystophora,cristata,52.75,3.75,1500:123:4,0.02
Cystophora,cristata,52.75,4.25,1500:124:3,0.02
Cystophora,cristata,52.75,4.75,1500:124:4,0.01
Cystophora,cristata,53.25,0.25,1500:130:1,0.02
Cystophora,cristata,53.25,0.75,1500:130:2,0.02
Cystophora,cristata,53.75,0.25,1500:130:3,0.02
Cystophora,cristata,53.75,0.75,1500:130:4,0.03
Cystophora,cristata,53.25,1.25,1500:131:1,0.02
Cystophora,cristata,53.25,1.75,1500:131:2,0.03
Cystophora,cristata,53.75,1.25,1500:131:3,0.03
Cystophora,cristata,53.75,1.75,1500:131:4,0.03
Cystophora,cristata,53.25,2.25,1500:132:1,0.03
Cystophora,cristata,53.25,2.75,1500:132:2,0.03
Cystophora,cristata,53.75,2.25,1500:132:3,0.03
Cystophora,cristata,53.75,2.75,1500:132:4,0.03
Cystophora,cristata,53.25,3.25,1500:133:1,0.03
Cystophora,cristata,53.25,3.75,1500:133:2,0.03
Cystophora,cristata,53.75,3.25,1500:133:3,0.03
Cystophora,cristata,53.75,3.75,1500:133:4,0.03
Cystophora,cristata,53.25,4.25,1500:134:1,0.02
Cystophora,cristata,53.25,4.75,1500:134:2,0.01
Cystophora,cristata,53.75,4.25,1500:134:3,0.03
Cystophora,cristata,53.75,4.75,1500:134:4,0.03
Cystophora,cristata,54.25,0.25,1500:140:1,0.03
Cystophora,cristata,54.25,0.75,1500:140:2,0.03
Cystophora,cristata,54.75,0.25,1500:140:3,0.06
Cystophora,cristata,54.75,0.75,1500:140:4,0.06
Cystophora,cristata,54.25,1.25,1500:141:1,0.04
Cystophora,cristata,54.25,1.75,1500:141:2,0.03
Cystophora,cristata,54.75,1.25,1500:141:3,0.04
Cystophora,cristata,54.75,1.75,1500:141:4,0.03
Cystophora,cristata,54.25,2.25,1500:142:1,0.04
Cystophora,cristata,54.25,2.75,1500:142:2,0.04
Cystophora,cristata,54.75,2.25,1500:142:3,0.03
Cystophora,cristata,54.75,2.75,1500:142:4,0.02
Cystophora,cristata,54.25,3.25,1500:143:1,0.03
Cystophora,cristata,54.25,3.75,1500:143:2,0.03
Cystophora,cristata,54.75,3.25,1500:143:3,0.03
Cystophora,cristata,54.75,3.75,1500:143:4,0.03
Cystophora,cristata,54.25,4.25,1500:144:1,0.02
Cystophora,cristata,54.25,4.75,1500:144:2,0.03
Cystophora,cristata,54.75,4.25,1500:144:3,0.03
Cystophora,cristata,54.75,4.75,1500:144:4,0.03
Cystophora,cristata,52.75,5.25,1500:225:3,0.01
Cystophora,cristata,53.25,5.25,1500:235:1,0.01
Cystophora,cristata,53.25,5.75,1500:235:2,0.01
Cystophora,cristata,53.75,5.25,1500:235:3,0.03
Cystophora,cristata,53.75,5.75,1500:235:4,0.02
Cystophora,cristata,53.25,6.25,1500:236:1,0.01
Cystophora,cristata,53.75,6.25,1500:236:3,0.02
Cystophora,cristata,53.75,6.75,1500:236:4,0.02
Cystophora,cristata,53.25,7.25,1500:237:1,0.01
Cystophora,cristata,53.75,7.25,1500:237:3,0.02
Cystophora,cristata,53.75,7.75,1500:237:4,0.01
Cystophora,cristata,53.75,8.25,1500:238:3,0.02
Cystophora,cristata,53.75,8.75,1500:238:4,0.01
Cystophora,cristata,54.25,5.25,1500:245:1,0.03
Cystophora,cristata,54.25,5.75,1500:245:2,0.04
Cystophora,cristata,54.75,5.25,1500:245:3,0.03
Cystophora,cristata,54.75,5.75,1500:245:4,0.03
Cystophora,cristata,54.25,6.25,1500:246:1,0.04
Cystophora,cristata,54.25,6.75,1500:246:2,0.04
Cystophora,cristata,54.75,6.25,1500:246:3,0.04
Cystophora,cristata,54.75,6.75,1500:246:4,0.04
Cystophora,cristata,54.25,7.25,1500:247:1,0.04
Cystophora,cristata,54.25,7.75,1500:247:2,0.03
Cystophora,cristata,54.75,7.25,1500:247:3,0.03
Cystophora,cristata,54.75,7.75,1500:247:4,0.02
